Ticker,Avg RSI,Avg ATR,Avg ADX,Avg MACD,Avg Stochastic_K,Avg Stochastic_D,Volatility,P/E Ratio,P/B Ratio,ROE,ROA,Earnings Growth,Revenue Growth,Debt-to-Equity,Sharpe Ratio,Sortino Ratio,Final Score
ICICIBANK.NS,52.54600322783525,26.104746438254203,23.765120572394462,1.3249508149183606,-112.1375984849618,-112.19414904866271,0.02513877781895553,18.446466,3.4717727,0.18731001,0.02158,0.182,0.274,,0.0299252228910315,0.0442704684286089,7.656040312706073
TCS.NS,53.06661157502503,149.15594344916897,23.126259749754624,4.756857356919167,-263.02373985725905,-263.0794175053159,0.02546048848441117,30.272444,16.327139,0.46772,0.24511999,0.062,0.077,8.836,0.0324231086861233,0.0489015969410794,7.644182894094521
AMBUJACEM.NS,52.29359372520351,29.052356002904443,23.644428692780373,0.8053989386175413,-210.99841030022958,-211.04817606786165,0.02149061334616971,28.658262,2.7119083,0.077259995,0.03824,-0.505,0.012,1.301,0.0292375373690457,0.044248101373168,7.619094990928769
ITC.NS,52.720202158093684,40.01968142609442,23.19129404535455,0.4730898307312542,-459.81474327643554,-459.9469858738829,0.017936849905467983,27.664434,7.5522046,0.28645,0.17,0.018,0.167,0.402,0.0334133017299391,0.0483394185459893,7.616797745819274
HEROMOTOCO.NS,51.33285073498173,504.6069504952284,24.138407018155164,3.5840660177484858,-421.08120532658097,-421.15837756679156,0.019545296868601774,20.52387,4.788251,,,0.471,0.154,3.4,0.0233392645723618,0.0361761909283541,7.572613056091827
IOC.NS,50.54296456415988,27.13178162230053,24.85715803008363,0.07810675425457415,-652.0670680840005,-652.1835928168898,0.07903553637622356,16.04145,0.9298344,0.10087,0.03421,,-0.024,88.031,0.0160771990833114,0.0561225869956529,7.5595505162517265
BPCL.NS,51.17676249721771,38.13718082683467,24.040330402865965,0.2112794027009091,-528.5133988661322,-528.6100827458648,0.07956401980972469,7.92664,1.4627095,0.17705,0.0555,-0.722,-0.003,76.361,0.0187148249584753,0.0645928379048636,7.541194698492393
NTPC.NS,51.0244838869091,46.528451664494895,23.720383023032394,0.19060852539421594,-611.7675727712383,-611.8492779097759,0.018756325085993415,14.7226095,1.9054284,0.13656001,0.04476,0.143,-0.006,139.959,0.0157198923999674,0.0233276040892889,7.500052868950548
BHARTIARTL.NS,51.71350427808659,22.42682300406304,22.85136560248454,1.1501185638614915,-23.391473850581974,-23.407498635600838,0.022322147557431726,79.5569,10.913989,0.12929,0.0544,1.597,0.12,204.474,0.023631388499646,0.0373568548385111,7.481696583766367
ONGC.NS,50.752022634471615,65.45317803393918,23.658930493022346,0.1415687949575897,-578.5706248832629,-578.7552383405651,0.023755501576105603,8.253789,0.955269,0.12048,0.0482,-0.252,0.078,50.462,0.0146432985983029,0.0209493297285601,7.466161573056782
GAIL.NS,51.0246161206393,20.381318290821415,22.620255315894482,0.11201159390890905,-398.69318262760345,-398.75505131960045,0.06954439932605301,9.399049,1.5185647,0.14696,0.06624,0.102,0.027,23.366,0.0171726996373577,0.0536734728252253,7.38497451418577
NESTLEIND.NS,53.199333130475345,78.44755828960673,18.127639877902794,2.4001176492728167,-121.79027048667112,-121.78311969865891,0.014935237276310383,74.50276,66.158264,,,-0.01,0.013,9.475,0.0177084232076316,0.0163839449098741,7.15864558757518
